study_id,country,outcome,sample_group,specification_id,event_time_years,event_time_basis,source_event_bin,beta,se,treatment_unit,beta_scale,source_table,source_page,extraction_method,verification_status,analysis_eligible,path_type,notes
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,high_school_1984_2004,table2_col7,2,bin_midpoint,1-3,-0.040,0.003,1pp_entry_unemployment,log_points,Table 2,article_table,exact_table,L2,true,monotone_negative,"Older subsample; BSWS"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,high_school_1984_2004,table2_col7,5,bin_midpoint,4-6,-0.030,0.004,1pp_entry_unemployment,log_points,Table 2,article_table,exact_table,L2,true,monotone_negative,"Older subsample; BSWS"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,high_school_1984_2004,table2_col7,8,bin_midpoint,7-9,-0.021,0.004,1pp_entry_unemployment,log_points,Table 2,article_table,exact_table,L2,true,monotone_negative,"Older subsample; BSWS"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,high_school_1984_2004,table2_col7,11,bin_midpoint,10-12,-0.012,0.005,1pp_entry_unemployment,log_points,Table 2,article_table,exact_table,L2,true,monotone_negative,"Older subsample; BSWS"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,high_school_1993_2013,table2_col8,2,bin_midpoint,1-3,-0.016,0.008,1pp_entry_unemployment,log_points,Table 2,article_table,exact_table,L2,false,sign_reversal,"Younger subsample; subsequent coefficients change sign"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,high_school_1993_2013,table2_col8,5,bin_midpoint,4-6,-0.004,0.007,1pp_entry_unemployment,log_points,Table 2,article_table,exact_table,L2,false,sign_reversal,"Younger subsample"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,high_school_1993_2013,table2_col8,8,bin_midpoint,7-9,0.005,0.009,1pp_entry_unemployment,log_points,Table 2,article_table,exact_table,L2,false,sign_reversal,"Younger subsample"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,high_school_1993_2013,table2_col8,11,bin_midpoint,10-12,0.010,0.009,1pp_entry_unemployment,log_points,Table 2,article_table,exact_table,L2,false,sign_reversal,"Younger subsample"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,four_year_college_1984_2004,table3_col7,2,bin_midpoint,1-3,-0.030,0.007,1pp_entry_unemployment,log_points,Table 3,article_table,exact_table,L2,true,monotone_negative,"Older subsample; BSWS"
JPN_KONDO_2024,Japan,log_real_annual_earnings_full_time,four_year_college_1984_2004,table3_col7,5,bin_midpoint,4-6,-0.018,0.006,1pp_entry_unemployment,log_points,Table 3,article_table,exact_table,L2,true,monotone_negative,"Older subsample; BSWS"
