study_id,country,sample_group,mechanism_component,proxy_name,event_time,event_time_basis,estimate,se,unit,direction,evidence_type,source_table_or_section,verification_status,analysis_role,notes
CAN_OVH_2012,Canada,male_college_graduates_all,offer_access,firm_median_log_earnings,0.5,bin_midpoint,-0.0096,0.0012,log_points,negative_gap,direct_quantitative,Table 2,L2,mechanism_outcome,"Initial employer-quality penalty per +1pp regional unemployment at graduation"
CAN_OVH_2012,Canada,male_college_graduates_all,offer_access,firm_median_log_earnings,4.5,bin_midpoint,-0.0042,0.0011,log_points,negative_gap,direct_quantitative,Table 2,L2,mechanism_outcome,"Employer-quality gap shrinks strongly by experience 4-5"
CAN_OVH_2012,Canada,male_college_graduates_all,offer_access,firm_median_log_earnings,9.5,bin_midpoint,-0.0028,0.0012,log_points,negative_gap,direct_quantitative,Table 2,L2,mechanism_outcome,"Residual employer-quality gap at experience 9-10"
CAN_OVH_2012,Canada,bottom_predicted_earnings_quintile,offer_access,firm_median_log_earnings,0.5,bin_midpoint,-0.0111,0.0043,log_points,negative_gap,direct_quantitative,Table 2,L2,heterogeneity,"Bottom skill group"
CAN_OVH_2012,Canada,bottom_predicted_earnings_quintile,offer_access,firm_median_log_earnings,4.5,bin_midpoint,-0.0087,0.0040,log_points,negative_gap,direct_quantitative,Table 2,L2,heterogeneity,"Bottom skill group"
CAN_OVH_2012,Canada,bottom_predicted_earnings_quintile,offer_access,firm_median_log_earnings,9.5,bin_midpoint,-0.0126,0.0044,log_points,negative_gap,direct_quantitative,Table 2,L2,heterogeneity,"No monotone employer-quality catch-up"
CAN_OVH_2012,Canada,middle_predicted_earnings_quintile,offer_access,firm_median_log_earnings,0.5,bin_midpoint,-0.0128,0.0022,log_points,negative_gap,direct_quantitative,Table 2,L2,heterogeneity,"Middle skill group"
CAN_OVH_2012,Canada,middle_predicted_earnings_quintile,offer_access,firm_median_log_earnings,4.5,bin_midpoint,-0.0050,0.0017,log_points,negative_gap,direct_quantitative,Table 2,L2,heterogeneity,"Middle skill group"
CAN_OVH_2012,Canada,middle_predicted_earnings_quintile,offer_access,firm_median_log_earnings,9.5,bin_midpoint,-0.0043,0.0019,log_points,negative_gap,direct_quantitative,Table 2,L2,heterogeneity,"Middle skill group"
CAN_OVH_2012,Canada,top_predicted_earnings_quintile,offer_access,firm_median_log_earnings,0.5,bin_midpoint,-0.0082,0.0015,log_points,negative_gap,direct_quantitative,Table 2,L2,heterogeneity,"Top skill group"
CAN_OVH_2012,Canada,top_predicted_earnings_quintile,offer_access,firm_median_log_earnings,4.5,bin_midpoint,-0.0004,0.0015,log_points,near_zero,direct_quantitative,Table 2,L2,heterogeneity,"Top skill group closes most initial employer-quality gap"
CAN_OVH_2012,Canada,top_predicted_earnings_quintile,offer_access,firm_median_log_earnings,9.5,bin_midpoint,0.0010,0.0015,log_points,sign_reversal,direct_quantitative,Table 2,L2,heterogeneity,"Top group point estimate changes sign"
CAN_OVH_2012,Canada,male_college_graduates_all,mobility,job_mobility_first_3_5_years,,,,"qualitative",higher_early_mobility,author_interpretation,Results discussion,L1,mechanism_candidate,"Authors describe elevated mobility and rapid firm-quality improvement in the first 3-5 years; no scalar estimate stored here"
JPN_KONDO_2024,Japan,ice_age_and_younger_male_cohorts,mobility,one_year_quitting_rate_cohort_effect,,,,"percentage_points",higher_for_ice_age,author_reported_range,Section 7,L1,mechanism_candidate,"Ice-age cohorts' one-year quitting rate reported about 1-2pp above older cohorts; range retained qualitatively rather than converted to a point estimate"
JPN_KONDO_2024,Japan,younger_cohorts,time_dependence,second_new_graduate_eligibility_window,,,,"years_since_graduation",window_extended,qualitative_author_interpretation,Section 7,L1,mechanism_candidate,"Many employers began allowing jobseekers already graduated 1-3 years to apply to openings for prospective new graduates in the mid-2000s"
JPN_KONDO_2024,Japan,older_male_cohorts,entry_gate,first_regular_job_state_dependence,,,,"qualitative",persistent,linked_prior_evidence,Section 7 footnote / Kondo 2007,L1,mechanism_anchor,"Failure to obtain regular full-time work at graduation lowers later regular-employment probability; Kondo 2007 uses entry labor-market conditions as instrument"
JPN_KONDO_2024,Japan,younger_male_cohorts,historical_transition,lifetime_employment_erosion,,,,"qualitative",more_fluid,qualitative_author_interpretation,Section 7,L1,mechanism_candidate,"Kondo discusses erosion of lifetime employment and increased mobility as possible factors; not isolated causally"
